threshold,model_fp_rate,backup_target_fpr,time_taken_ms,time_per_query_ns,throughput_s,insert_count,negative_queries,false_negative,false_positive,observed_fpr,total_memory_mb,backup_key_count
0.05,0.24329946636920016,1e-09,130.2446,309.7639750371019,3228264,344928,75536,0,18100,0.23962084304172845,0.05483245849609375,4583
0.075,0.21192981398293587,1e-09,131.4638,312.6636287529967,3198325,344928,75536,0,15710,0.20798030078373225,0.06211090087890625,5998
0.1,0.18937863667882662,1e-09,136.587,324.84826287149434,3078360,344928,75536,0,13982,0.1851037915695827,0.0688934326171875,7318
0.125,0.1730833006723145,1e-09,135.9994,323.45075916130753,3091660,344928,75536,0,12759,0.1689128362635035,0.0751495361328125,8534
0.15,0.15936567276674002,1e-09,142.422,338.72578865253627,2952240,344928,75536,0,11728,0.155263715314552,0.08133697509765625,9738
0.175,0.14765292893967258,1e-09,136.6668,325.0380531983713,3076562,344928,75536,0,10845,0.14357392501588648,0.08754730224609375,10945
0.2,0.13773402876179566,1e-09,128.6361,305.9384394383348,3268631,344928,75536,0,10092,0.13360516839652617,0.093841552734375,12170
0.22499999999999998,0.12954867496759023,1e-09,131.6775,313.1718767837437,3193134,344928,75536,0,9484,0.12555602626562168,0.0995025634765625,13270
0.25,0.12219240857427116,1e-09,137.7882,327.70510673922143,3051524,344928,75536,0,8930,0.11822177504765939,0.10552978515625,14442
0.27499999999999997,0.11543911483614218,1e-09,135.9349,323.2973572053731,3093127,344928,75536,0,8437,0.11169508578690955,0.111328125,15570
0.3,0.10889686152732973,1e-09,162.3242,386.0596864416454,2590273,344928,75536,0,7956,0.1053272611734802,0.11746978759765625,16765
0.32499999999999996,0.10301787813922639,1e-09,138.6616,329.78233570531603,3032303,344928,75536,0,7506,0.09936983689896209,0.1233367919921875,17906
0.35,0.09778709035545238,0.0024527576815759167,139.4468,331.6497964153887,3015228,344928,75536,0,7274,0.09629845371743274,0.05975341796875,19101
0.37499999999999994,0.0930537550122102,0.007658937920718034,128.1068,304.67959206971346,3282136,344928,75536,0,7313,0.09681476382122432,0.05583953857421875,20326
0.39999999999999997,0.08856160873104404,0.012549823859219697,136.4497,324.52171886297043,3081457,344928,75536,0,7279,0.09636464732048294,0.0547027587890625,21571
0.42499999999999993,0.08408453676625766,0.017376563528637264,135.3203,321.8356387229347,3107176,344928,75536,0,7319,0.09689419614488456,0.0542449951171875,22852
0.44999999999999996,0.07983357954716754,0.021916057796271426,123.514,293.75642147722516,3404180,344928,75536,0,7246,0.09592776954035162,0.054229736328125,24224
0.475,0.07570321685911544,0.026286776697762422,129.7525,308.5936013546939,3240507,344928,75536,0,7433,0.09840341029442914,0.05434417724609375,25558
0.49999999999999994,0.07210045524435467,0.030067419381041353,136.2858,324.1319114121542,3085163,344928,75536,0,7333,0.09707953823342512,0.0547027587890625,26947
0.525,0.06822635593475836,0.0341001747233547,145.2124,345.362266448495,2895510,344928,75536,0,7282,0.09640436348231307,0.0551300048828125,28462
0.5499999999999999,0.06432210799240254,0.0381305279438063,131.6715,313.15760683435445,3193280,344928,75536,0,7436,0.09844312645625927,0.0555877685546875,30007
0.575,0.061653953993186406,0.04086556997815192,127.2276,302.58856881920923,3304817,344928,75536,0,7354,0.09735755136623597,0.0564117431640625,31691
0.6,0.058232084174982664,0.04435054021608644,134.7029,320.36726093078124,3121417,344928,75536,0,7359,0.09742374496928617,0.05713653564453125,33459
0.625,0.05484036298953843,0.047779904306220096,140.6358,334.47762471935766,2989736,344928,75536,0,7316,0.09685447998305444,0.05791473388671875,35308
0.65,0.051735053815309476,0.05089816551680286,141.038,335.4341869934168,2981210,344928,75536,0,7453,0.09866818470662995,0.05883026123046875,37303
0.675,0.04872019053935904,0.0539061262003613,139.6375,332.1033429734769,3011110,344928,75536,0,7311,0.09678828638000424,0.05979156494140625,39357
0.7,0.04585607042720612,0.05674608190091002,128.3916,305.356939000723,3274855,344928,75536,0,7378,0.09767528066087694,0.0608673095703125,41572
0.725,0.04269046398745817,0.059865209586495764,128.6214,305.90347806233115,3269005,344928,75536,0,7355,0.097370790086846,0.06201934814453125,44012
0.75,0.03922337122011517,0.06325781348060751,131.2497,312.1544293922904,3203542,344928,75536,0,7339,0.09715897055708536,0.06322479248046875,46656
0.775,0.035997467514848204,0.0663924941360438,133.4604,317.41219224475816,3150477,344928,75536,0,7527,0.09964785003177293,0.06470489501953125,49691
0.7999999999999999,0.032741415176821734,0.06953526789888727,129.1066,307.0574413029415,3256719,344928,75536,0,7454,0.09868142342724,0.0663299560546875,53005
0.825,0.029847146431909312,0.07231113459088227,137.1847,326.26978766315307,3064948,344928,75536,0,7605,0.10068047023935607,0.0682830810546875,56792
0.85,0.02672676294130061,0.07528537133121661,132.6287,315.4341394269188,3170233,344928,75536,0,7534,0.09974052107604321,0.0704803466796875,61099
0.875,0.023410413337755134,0.0784255614725631,135.8174,323.0179040298337,3095803,344928,75536,0,7570,0.10021711501800466,0.07317352294921875,66344
0.9,0.01965690855919684,0.08195405480210352,127.4006,303.0000190265992,3300329,344928,75536,0,7316,0.09685447998305444,0.076507568359375,72880
0.9249999999999999,0.016129518526334832,0.08524544953116382,136.9344,325.6744929411317,3070550,344928,75536,0,7686,0.10175280660876933,0.080963134765625,81346
0.95,0.01218004763483976,0.08890279261406989,131.2549,312.1667966817611,3203415,344928,75536,0,7605,0.10068047023935607,0.0871429443359375,93043
