threshold,model_fp_rate,backup_target_fpr,time_taken_ms,insert_count,negative_queries,false_negative,false_positive,observed_fpr,model_memory_mb,backup_memory_mb,total_memory_mb,backup_key_count
0.05,0.016087767878641947,1e-09,1226.104800007306,344800,66448,0,1070,0.016102817240549,0.5,1.4811477661132812,1.9811477661132812,288058
0.075,0.015816879364314952,1e-09,1120.4947000078391,344800,66448,0,1052,0.015831928726222008,0.5,1.48492431640625,1.98492431640625,288792
0.1,0.01489886828798459,1e-09,1259.5316999941133,344800,66448,0,991,0.014913917649891644,0.5,1.4875259399414062,1.9875259399414062,289299
0.125,0.014778473392728149,1e-09,1179.906299992581,344800,66448,0,983,0.014793522754635203,0.5,1.4888153076171875,1.9888153076171875,289549
0.15,0.014688177221285818,1e-09,1200.8084999979474,344800,66448,0,977,0.014703226583192872,0.5,1.490447998046875,1.990447998046875,289866
0.175,0.01455273296412232,1e-09,1254.2113999952562,344800,66448,0,968,0.014567782326029377,0.5,1.4913558959960938,1.9913558959960938,290044
0.2,0.01443233806886588,1e-09,1283.562200012966,344800,66448,0,960,0.014447387430772935,0.5,1.4921951293945312,1.9921951293945312,290207
0.22499999999999998,0.014326992535516494,1e-09,1221.6079000063473,344800,66448,0,953,0.014342041897423548,0.5,1.4933090209960938,1.9933090209960938,290423
0.25,0.014116301468817722,1e-09,1179.0802000032272,344800,66448,0,939,0.014131350830724778,0.5,1.4940185546875,1.9940185546875,290561
0.27499999999999997,0.014071153383096557,1e-09,1212.3573999997461,344800,66448,0,936,0.014086202745003612,0.5,1.4951019287109375,1.9951019287109375,290772
0.3,0.013800264868769565,1e-09,1220.8497000101488,344800,66448,0,918,0.013815314230676619,0.5,1.4964523315429688,1.9964523315429688,291034
0.32499999999999996,0.013770166144955454,1e-09,1213.4344999940367,344800,66448,0,916,0.013785215506862509,0.5,1.4970703125,1.9970703125,291154
0.35,0.013770166144955454,1e-09,1244.6048999991035,344800,66448,0,916,0.013785215506862509,0.5,1.4976425170898438,1.9976425170898438,291266
0.37499999999999994,0.013725018059234288,1e-09,1182.618899998488,344800,66448,0,913,0.013740067421141344,0.5,1.498260498046875,1.998260498046875,291386
0.39999999999999997,0.013574524440163736,1e-09,1194.3286000023363,344800,66448,0,903,0.013589573802070792,0.5,1.4989776611328125,1.9989776611328125,291526
0.42499999999999993,0.013514326992535516,1e-09,1157.3861000069883,344800,66448,0,899,0.013529376354442572,0.5,1.49951171875,1.99951171875,291629
0.44999999999999996,0.013454129544907295,1e-09,1148.852900005295,344800,66448,0,895,0.013469178906814351,0.5,1.5001602172851562,2.0001602172851562,291755
0.475,0.013393932097279076,1e-09,1179.8873999941861,344800,66448,0,891,0.01340898145918613,0.5,1.500701904296875,2.000701904296875,291861
0.49999999999999994,0.01328858656392969,1e-09,1164.7317000024486,344800,66448,0,884,0.013303635925836745,0.5,1.501312255859375,2.001312255859375,291980
0.525,0.013153142306766194,1e-09,1120.5458999902476,344800,66448,0,875,0.013168191668673248,0.5,1.5020675659179688,2.0020675659179688,292126
0.5499999999999999,0.013123043582952083,1e-09,1150.8133999886923,344800,66448,0,873,0.013138092944859138,0.5,1.5025711059570312,2.0025711059570312,292224
0.575,0.013092944859137973,1e-09,1146.4064000028884,344800,66448,0,871,0.013107994221045027,0.5,1.5033493041992188,2.0033493041992188,292376
0.6,0.013062846135323863,1e-09,1108.9426999969874,344800,66448,0,869,0.013077895497230917,0.5,1.5042495727539062,2.0042495727539062,292551
0.625,0.012746809535275704,1e-09,1128.7894999986747,344800,66448,0,848,0.01276185889718276,0.5,1.50494384765625,2.00494384765625,292686
0.65,0.012716710811461593,1e-09,1161.2173000030452,344800,66448,0,846,0.01273176017336865,0.5,1.5055084228515625,2.0055084228515625,292796
0.675,0.012716710811461593,1e-09,1105.4928999947151,344800,66448,0,846,0.01273176017336865,0.5,1.5059738159179688,2.0059738159179688,292886
0.7,0.012701661449554539,1e-09,1100.9436000022106,344800,66448,0,845,0.012716710811461593,0.5,1.5068511962890625,2.0068511962890625,293057
0.725,0.012506019744762823,1e-09,1105.2543999976479,344800,66448,0,832,0.012521069106669877,0.5,1.5075836181640625,2.0075836181640625,293199
0.75,0.012506019744762823,1e-09,1195.2253000054043,344800,66448,0,832,0.012521069106669877,0.5,1.5081634521484375,2.0081634521484375,293312
0.775,0.012490970382855767,1e-09,1161.3177000108408,344800,66448,0,831,0.012506019744762823,0.5,1.5089263916015625,2.0089263916015625,293460
0.7999999999999999,0.012370575487599325,1e-09,1159.200599999167,344800,66448,0,823,0.012385624849506381,0.5,1.50970458984375,2.00970458984375,293612
0.825,0.01229532867806405,1e-09,1191.233999998076,344800,66448,0,818,0.012310378039971105,0.5,1.5107421875,2.0107421875,293814
0.85,0.01226522995424994,1e-09,1165.5116000038106,344800,66448,0,816,0.012280279316156995,0.5,1.511810302734375,2.011810302734375,294021
0.875,0.012039489525644112,1e-09,1177.4621999938972,344800,66448,0,801,0.012054538887551168,0.5,1.5132904052734375,2.0132904052734375,294309
0.9,0.011964242716108837,1e-09,4164.314000008744,344800,66448,0,796,0.011979292078015891,0.5,1.5148849487304688,2.0148849487304688,294619
0.9249999999999999,0.011813749097038286,1e-09,1151.4943000074709,344800,66448,0,786,0.011828798458945342,0.5,1.5165252685546875,2.0165252685546875,294938
0.95,0.011588008668432459,1e-09,1159.0132000128506,344800,66448,0,771,0.011603058030339513,0.5,1.5186538696289062,2.0186538696289062,295352
