threshold,model_fp_rate,backup_target_fpr,time_taken_ms,time_per_query_ns,throughput_s,insert_count,negative_queries,false_negative,false_positive,observed_fpr,model_memory_mb,backup_memory_mb,total_memory_mb,backup_key_count
0.05,0.37697850402484245,1e-09,275.30410001054406,669.484555662797,1493686,344880,66338,0,25008,0.37697850402484245,0.06391239166259766,0.00104522705078125,0.0649576187133789,203
0.075,0.33933793602460127,1e-09,277.1514999913052,673.9770632397054,1483730,344880,66338,0,22511,0.33933793602460127,0.06391239166259766,0.00136566162109375,0.0652780532836914,265
0.1,0.3122493894901866,1e-09,275.20520001417026,669.2440506353571,1494223,344880,66338,0,20714,0.3122493894901866,0.06391239166259766,0.001708984375,0.06562137603759766,332
0.125,0.2910096777111158,1e-09,276.19560004677624,671.6525055974598,1488865,344880,66338,0,19305,0.2910096777111158,0.06391239166259766,0.00217437744140625,0.0660867691040039,422
0.15,0.27258886309505864,1e-09,275.83079994656146,670.7653846537881,1490834,344880,66338,0,18083,0.27258886309505864,0.06391239166259766,0.0026092529296875,0.06652164459228516,506
0.175,0.256203081190268,1e-09,277.409800037276,674.6051973339592,1482348,344880,66338,0,16996,0.256203081190268,0.06391239166259766,0.0031280517578125,0.06704044342041016,607
0.2,0.24275679097952907,1e-09,276.67140000266954,672.8095560084179,1486304,344880,66338,0,16104,0.24275679097952907,0.06391239166259766,0.003570556640625,0.06748294830322266,694
0.22499999999999998,0.22986825047484097,1e-09,278.43720000237226,677.1036287379742,1476878,344880,66338,0,15250,0.22988332479122073,0.06391239166259766,0.00408935546875,0.06800174713134766,794
0.25,0.21883385088486237,1e-09,280.228299961891,681.4592259139704,1467439,344880,66338,0,14517,0.21883385088486237,0.06391239166259766,0.00473785400390625,0.0686502456665039,920
0.27499999999999997,0.2087039102776689,1e-09,283.78369996789843,690.1052482330501,1449054,344880,66338,0,13845,0.2087039102776689,0.06391239166259766,0.00539398193359375,0.0693063735961914,1049
0.3,0.19904127347824777,1e-09,279.0400999947451,678.5697610385371,1473687,344880,66338,0,13204,0.19904127347824777,0.06391239166259766,0.00603485107421875,0.0699472427368164,1173
0.32499999999999996,0.18939371099520635,1e-09,281.2794999917969,684.0155343195019,1461955,344880,66338,0,12564,0.18939371099520635,0.06391239166259766,0.00673675537109375,0.0706491470336914,1310
0.35,0.18140432331393772,1e-09,284.7635999787599,692.4881692405485,1444067,344880,66338,0,12034,0.18140432331393772,0.06391239166259766,0.00756072998046875,0.0714731216430664,1470
0.37499999999999994,0.17311344930507402,1e-09,278.5820999997668,677.4559965754584,1476110,344880,66338,0,11484,0.17311344930507402,0.06391239166259766,0.00843048095703125,0.0723428726196289,1639
0.39999999999999997,0.16513913594018512,1e-09,284.5384000102058,691.9405279199982,1445210,344880,66338,0,10955,0.16513913594018512,0.06391239166259766,0.0093994140625,0.07331180572509766,1828
0.42499999999999993,0.15733064005547348,1e-09,288.00069994758815,700.3601494768909,1427836,344880,66338,0,10437,0.15733064005547348,0.06391239166259766,0.01055145263671875,0.0744638442993164,2052
0.44999999999999996,0.15066779221562301,1e-09,289.68490002444014,704.4557875006449,1419535,344880,66338,0,9995,0.15066779221562301,0.06391239166259766,0.01171875,0.07563114166259766,2279
0.475,0.14299496517832916,1e-09,293.68379997322336,714.1803130534737,1400206,344880,66338,0,9486,0.14299496517832916,0.06391239166259766,0.01299285888671875,0.0769052505493164,2526
0.49999999999999994,0.1359854080617444,1e-09,281.58569999504834,684.7601515377448,1460365,344880,66338,0,9021,0.1359854080617444,0.06391239166259766,0.01418304443359375,0.0780954360961914,2757
0.525,0.12926226295637494,1e-09,284.8273999989033,692.6433181400213,1443744,344880,66338,0,8575,0.12926226295637494,0.06391239166259766,0.0159149169921875,0.07982730865478516,3094
0.5499999999999999,0.1228406041786005,1e-09,286.05070000048727,695.6181392849711,1437570,344880,66338,0,8149,0.1228406041786005,0.06391239166259766,0.01766204833984375,0.0815744400024414,3434
0.575,0.11641894540082608,1e-09,285.92809999827296,695.3200005794322,1438186,344880,66338,0,7723,0.11641894540082608,0.06391239166259766,0.0196685791015625,0.08358097076416016,3824
0.6,0.11044951611444422,1e-09,285.26710002915934,693.71258074588,1441519,344880,66338,0,7327,0.11044951611444422,0.06391239166259766,0.02184295654296875,0.0857553482055664,4247
0.625,0.10463082999185987,1e-09,284.2353999731131,691.2036923799859,1446751,344880,66338,0,6941,0.10463082999185987,0.06391239166259766,0.0244293212890625,0.08834171295166016,4751
0.65,0.09869154933823751,1e-09,287.1784000308253,698.3604804041294,1431925,344880,66338,0,6547,0.09869154933823751,0.06391239166259766,0.02738189697265625,0.0912942886352539,5324
