,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,35.0591625,12055906.737832647,0.3419189453125,83.38207908405951,0.020850984960813387,1575.0,344928.0,75536.0
std,2.6979066180691715,938839.715333676,0.0,6.4164984827932265,0.0,0.0,0.0,0.0
