,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,66.56768749999999,6607758.497569574,0.3419189453125,158.3195885973591,0.020850984960813387,1575.0,344928.0,75536.0
std,15.96299284724672,1419459.0597005957,0.0,37.96518333851821,0.0,0.0,0.0,0.0
