,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,35.5223125,11975784.952675276,0.26280975341796875,84.48360026066442,0.053815399279813596,4065.0,344928.0,75536.0
std,4.297343823951023,1325586.8495746073,0.0,10.220479812661779,0.0,0.0,0.0,0.0
