,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,42.3581375,10002978.50200256,0.5256118774414062,100.74141305795503,0.002263821224316882,171.0,344928.0,75536.0
std,4.199465967387996,886712.7887544645,0.0,9.987694469414732,0.0,0.0,0.0,0.0
