threshold,model_fp_rate,backup_target_fpr,time_taken_ms,insert_count,negative_queries,false_negative,false_positive,observed_fpr,model_memory_mb,backup_memory_mb,total_memory_mb,backup_key_count
0.725,0.012506019744762823,0.037968819056037315,1001.3298999983817,344800,66448,0,3253,0.048955574283650376,0.5,0.2379608154296875,0.7379608154296875,293199
0.75,0.012506019744762823,0.037968819056037315,989.5489000045927,344800,66448,0,3295,0.04958764748374669,0.5,0.2380523681640625,0.7380523681640625,293312
0.775,0.012490970382855767,0.03798348014264379,1020.5121000035433,344800,66448,0,3233,0.04865458704550927,0.5,0.2381439208984375,0.7381439208984375,293460
0.7999999999999999,0.012370575487599325,0.038100752750434286,995.0971999933245,344800,66448,0,3335,0.05018962196002889,0.5,0.23804473876953125,0.7380447387695312,293612
0.825,0.01229532867806405,0.03817403361216499,984.3931000068551,344800,66448,0,3357,0.050520707921984105,0.5,0.238067626953125,0.738067626953125,293814
0.85,0.01226522995424994,0.03820334283058827,989.8067000031006,344800,66448,0,3336,0.05020467132193595,0.5,0.23818206787109375,0.7381820678710938,294021
0.875,0.012039489525644112,0.038423105045088966,979.9017999903299,344800,66448,0,3331,0.050129424512400676,0.5,0.2379913330078125,0.7379913330078125,294309
0.9,0.011964242716108837,0.03849633680106012,991.6514999931678,344800,66448,0,3348,0.050385263664820615,0.5,0.23810577392578125,0.7381057739257812,294619
0.9249999999999999,0.011813749097038286,0.03864276685500206,1002.5128999986919,344800,66448,0,3328,0.05008427642667951,0.5,0.2380828857421875,0.7380828857421875,294938
0.95,0.011588008668432459,0.038862328329120864,978.9418000000296,344800,66448,0,3321,0.04997893089333012,0.5,0.238006591796875,0.738006591796875,295352
