,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,33.5536,12588508.016055368,0.29732513427734375,79.8013623045017,0.03389112476170303,2560.0,344928.0,75536.0
std,2.4180711114439952,912805.9874607979,0.0,5.750958729984006,0.0,0.0,0.0,0.0
