,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,33.9299875,12437145.138039418,0.26280975341796875,80.69653406712584,0.053815399279813596,4065.0,344928.0,75536.0
std,2.157531907684931,810075.2242254779,0.0,5.131311854724614,0.0,0.0,0.0,0.0
