threshold,model_fp_rate,backup_target_fpr,time_taken_ms,time_per_query_ns,throughput_s,insert_count,negative_queries,false_negative,false_positive,observed_fpr,total_memory_mb,backup_key_count
0.05,0.10506798516687268,1e-09,144.5372,343.75642147722516,2909036,344928,75536,0,7605,0.10068047023935607,0.25661468505859375,1283
0.075,0.08634568422322048,1e-09,141.0764,335.52551466950797,2980399,344928,75536,0,6185,0.08188148697309892,0.25835418701171875,1621
0.1,0.07276372516506377,1e-09,155.8947,370.76824650861903,2697102,344928,75536,0,5180,0.06857657276000848,0.26001739501953125,1945
0.125,0.06319153426392113,1e-09,151.5452,360.42372236386467,2774512,344928,75536,0,4477,0.05926975217115018,0.26151275634765625,2236
0.15,0.05621212578009587,1e-09,157.5011,374.5887876250999,2669594,344928,75536,0,3966,0.05250476593941961,0.2630767822265625,2540
0.175,0.05055925713768881,1e-09,156.2314,371.5690285018456,2691289,344928,75536,0,3551,0.047010696886252916,0.26464080810546875,2843
0.2,0.046308299918598694,1e-09,142.403,338.6806004794703,2952634,344928,75536,0,3250,0.0430258419826308,0.2663421630859375,3174
0.22499999999999998,0.042735686936597427,1e-09,132.3691,314.8167262833441,3176451,344928,75536,0,2989,0.039570535903410295,0.26793670654296875,3484
0.25,0.039570080496849465,1e-09,136.0736,323.6272308687545,3089974,344928,75536,0,2763,0.0365785850455412,0.26941680908203125,3773
0.27499999999999997,0.03690192649763333,1e-09,148.9441,354.23746147113667,2822965,344928,75536,0,2573,0.034063228129633555,0.27123260498046875,4126
0.3,0.03459555609153125,1e-09,138.0262,328.27114806499486,3046262,344928,75536,0,2403,0.031812645625926714,0.273040771484375,4477
0.32499999999999996,0.0325605233802647,1e-09,146.8794,349.32693405380724,2862647,344928,75536,0,2259,0.029906269858080915,0.27484130859375,4828
0.35,0.030555639301757666,1e-09,144.3799,343.3823109707371,2912205,344928,75536,0,2114,0.02798665536962508,0.2767486572265625,5199
0.37499999999999994,0.02892761313274443,1e-09,138.2586,328.8238707713383,3041141,344928,75536,0,2003,0.026517157381910614,0.2785797119140625,5555
0.39999999999999997,0.027435255811148966,1e-09,144.6856,344.1093648921192,2906052,344928,75536,0,1901,0.025166807879686507,0.2805328369140625,5935
0.42499999999999993,0.026063493020591515,1e-09,138.427,329.2243806841965,3037442,344928,75536,0,1803,0.023869413259902564,0.28260040283203125,6336
0.44999999999999996,0.024917844975730352,1e-09,135.2629,321.6991228737775,3108494,344928,75536,0,1723,0.022810315611099342,0.28462982177734375,6731
0.475,0.023576230817932406,1e-09,161.2415,383.48467407435595,2607666,344928,75536,0,1627,0.02153939843253548,0.2870330810546875,7198
0.49999999999999994,0.022325062558412975,1e-09,146.4872,348.39415502873015,2870312,344928,75536,0,1539,0.02037439101885194,0.28939056396484375,7657
0.525,0.021435677892007596,1e-09,142.155,338.0907759047148,2957785,344928,75536,0,1479,0.01958006778224952,0.2917633056640625,8118
0.5499999999999999,0.020305104163526183,1e-09,140.5902,334.3691731039994,2990706,344928,75536,0,1401,0.018547447574666386,0.29436492919921875,8624
0.575,0.019385570864361303,1e-09,164.5387,391.32648692872635,2555410,344928,75536,0,1333,0.017647214573183648,0.29709625244140625,9156
0.6,0.018511260514335676,1e-09,142.4065,338.68892461661403,2952561,344928,75536,0,1271,0.01682641389536115,0.29986572265625,9695
0.625,0.01763695016431005,1e-09,141.7956,337.23600593629897,2965282,344928,75536,0,1210,0.016018851938148698,0.302978515625,10300
0.65,0.016717416865145166,1e-09,143.7606,341.9094143612771,2924751,344928,75536,0,1145,0.015158335098496081,0.30623626708984375,10934
0.675,0.01597877536253731,1e-09,145.1034,345.10302903459035,2897685,344928,75536,0,1092,0.014456682906163948,0.30983734130859375,11634
0.7,0.015240133859929452,1e-09,146.9761,349.5569180714639,2860764,344928,75536,0,1042,0.013794746875661935,0.31396484375,12436
0.725,0.014486418040941843,1e-09,136.7383,325.2081034285932,3074954,344928,75536,0,990,0.013106333403939843,0.318511962890625,13320
0.75,0.013777925171093492,1e-09,154.117,366.5402983370752,2728212,344928,75536,0,942,0.012470874814657912,0.32354736328125,14300
0.775,0.012963912086586874,1e-09,140.2323,333.5179706229309,2998339,344928,75536,0,887,0.011742745181105699,0.329010009765625,15363
0.7999999999999999,0.012225270583979016,1e-09,150.4786,357.8870010274364,2794178,344928,75536,0,835,0.011054331709383605,0.33544921875,16615
0.825,0.011396183183092646,1e-09,147.3533,350.45402222306785,2853441,344928,75536,0,779,0.010312963355221352,0.34276580810546875,18037
0.85,0.010687690313244295,1e-09,152.3748,362.3967806994178,2759406,344928,75536,0,732,0.00969074348654946,0.35160064697265625,19756
0.875,0.009738008381319907,0.00026456798392498327,139.658,332.1520986338902,3010668,344928,75536,0,696,0.009214149544588011,0.29470062255859375,21862
0.9,0.008743103500256264,0.0012679826028772162,187.1399,445.0794836180981,2246789,344928,75536,0,668,0.008843465367506884,0.2905426025390625,24484
0.9249999999999999,0.007642678404534355,0.0023754765991706034,206.4584,491.0251531641234,2036555,344928,75536,0,719,0.009518640118618936,0.291900634765625,27936
0.95,0.006497030359673189,0.003525877372661478,213.8629,508.63545987290235,1966044,344928,75536,0,683,0.009042046176657487,0.29625701904296875,32995
