,time_ms,throughtput_s,memory_mb,time_per_query_ns,observed_fpr,fp_count,insert_count,negative_queries
mean,33.590599999999995,12617346.374614196,0.26280975341796875,79.88936032573537,0.053815399279813596,4065.0,344928.0,75536.0
std,3.4101151731702144,1131136.0792865327,0.0,8.11036182210656,0.0,0.0,0.0,0.0
