threshold,model_fp_rate,backup_target_fpr,time_taken_ms,time_per_query_ns,throughput_s,insert_count,negative_queries,false_negative,false_positive,observed_fpr,total_memory_mb,backup_key_count
0.05,0.1665862703126413,1e-09,129.1595,307.1832546900567,3255385,344928,75536,0,12219,0.16176392713408178,0.0808563232421875,3566
0.075,0.14273870179987339,1e-09,135.902,323.2191103162221,3093876,344928,75536,0,10428,0.13805337852149968,0.0859832763671875,4563
0.1,0.12614187946576622,1e-09,152.3217,362.27049164732296,2760368,344928,75536,0,9170,0.12139906799406905,0.0908203125,5504
0.125,0.1138261629835087,1e-09,136.5427,324.74290307850373,3079359,344928,75536,0,8253,0.10925916119466214,0.0953216552734375,6379
0.15,0.10393741143839128,1e-09,142.4322,338.750047566498,2952029,344928,75536,0,7509,0.0994095530607922,0.0996246337890625,7217
0.175,0.09575205764418583,1e-09,134.3979,319.6418718368279,3128501,344928,75536,0,6913,0.09151927557720822,0.10413360595703125,8093
0.2,0.08833549398534776,1e-09,137.7396,327.58952014916855,3052600,344928,75536,0,6364,0.08425121796229612,0.10797119140625,8839
0.22499999999999998,0.08269769965932044,1e-09,152.7089,363.191379047909,2753369,344928,75536,0,5953,0.07881010379156958,0.11220550537109375,9663
0.25,0.0771654255479514,1e-09,136.6676,325.0399558582899,3076544,344928,75536,0,5540,0.07334251217962297,0.11627197265625,10454
0.27499999999999997,0.0723717929391902,1e-09,134.0658,318.8520301381331,3136251,344928,75536,0,5179,0.06856333403939843,0.1202392578125,11225
0.3,0.06842232204769513,1e-09,142.6863,339.3543799231325,2946772,344928,75536,0,4885,0.0646711501800466,0.124267578125,12009
0.32499999999999996,0.06453314842171907,1e-09,128.229,304.97022337227446,3279008,344928,75536,0,4602,0.060924592247405214,0.1282806396484375,12790
0.35,0.0608700895414393,1e-09,130.1676,309.5808440199399,3230174,344928,75536,0,4332,0.05735013768269434,0.1324462890625,13599
0.37499999999999994,0.05785522626548886,1e-09,136.2776,324.1124091479889,3085349,344928,75536,0,4106,0.054358186824825246,0.1368560791015625,14458
0.39999999999999997,0.054553950978323135,1e-09,135.4773,322.2090357319533,3103575,344928,75536,0,3871,0.051247087481465795,0.14128875732421875,15320
0.42499999999999993,0.05202146582652477,1e-09,138.1669,328.60577837817266,3043160,344928,75536,0,3690,0.048850879051048506,0.1457977294921875,16197
0.44999999999999996,0.0494889806747264,0.0005376258821663651,135.247,321.661307507896,3108860,344928,75536,0,3548,0.046970980724422795,0.09449005126953125,17117
0.475,0.0470620157375863,0.0030830802328524424,131.2584,312.1751208189048,3203330,344928,75536,0,3561,0.047143084092353314,0.08850860595703125,18117
0.49999999999999994,0.04448430763664868,0.005772477006326221,139.2362,331.14892119182616,3019789,344928,75536,0,3596,0.04760643931370472,0.086944580078125,19097
0.525,0.042117639965027584,0.008228943724033745,137.3968,326.77423037406294,3060216,344928,75536,0,3577,0.04735490362211396,0.08647918701171875,20120
0.5499999999999999,0.03994693840634327,0.010471360381861578,135.1727,321.4845979679592,3110568,344928,75536,0,3597,0.047619678034314765,0.086456298828125,21159
0.575,0.03792698001145648,0.012548964306978787,145.1046,345.1058830244682,2897661,344928,75536,0,3580,0.04739461978394408,0.08673858642578125,22293
0.6,0.03559046097259489,0.014941307032214707,145.9754,347.1769283458275,2880375,344928,75536,0,3583,0.0474343359457742,0.08699798583984375,23470
0.625,0.03349513099580934,0.017076860689999376,155.4821,369.78694965561857,2704259,344928,75536,0,3594,0.047579961872484644,0.0875396728515625,24779
0.65,0.03133950375350478,0.019264227579016174,129.0687,306.9673027892994,3257675,344928,75536,0,3585,0.04746081338699428,0.088104248046875,26110
0.675,0.029259248093098978,0.021365902138298372,128.9545,306.6956980859241,3260560,344928,75536,0,3665,0.0485199110357975,0.0888671875,27612
0.7,0.027495553076667973,0.02314071364355024,127.4572,303.13463221583777,3298864,344928,75536,0,3596,0.04760643931370472,0.08980560302734375,29204
0.725,0.025505743314540686,0.02513535253534635,200.6158,477.1295521138552,2095866,344928,75536,0,3782,0.05006884134717221,0.0908203125,30963
0.75,0.02345563628689439,0.027181933253064127,129.7743,308.6454488374748,3239963,344928,75536,0,3739,0.049499576360940475,0.09197235107421875,32930
0.775,0.021571346739425366,0.029055417751552227,123.3056,293.2607785684387,3409934,344928,75536,0,3635,0.048122749417496294,0.093231201171875,34979
0.7999999999999999,0.019687057191956344,0.030921700086111455,132.8356,315.92621484835803,3165296,344928,75536,0,3719,0.04923480194873967,0.0947265625,37337
0.825,0.017998733757424102,0.0325878054770969,126.1735,300.0815765440085,3332427,344928,75536,0,3529,0.04671944503283203,0.09658050537109375,40097
0.85,0.016099369893575327,0.03445533935958327,127.7019,303.71660831842917,3292543,344928,75536,0,3739,0.049499576360940475,0.098724365234375,43325
0.875,0.014411046459043082,0.03610932672601023,131.1622,311.94632596369723,3205679,344928,75536,0,3659,0.04844047871213726,0.101287841796875,47047
0.9,0.012255419216738521,0.03821289584128196,129.591,308.2095018836333,3244546,344928,75536,0,3728,0.049353950434230034,0.1044921875,51816
0.9249999999999999,0.010250535138231482,0.04016113801821561,127.5582,303.3748430305567,3296252,344928,75536,0,3700,0.04898326625714891,0.10877227783203125,57983
0.95,0.007898941782990141,0.042436259762360595,129.8984,308.9405989573424,3236868,344928,75536,0,3905,0.05169720398220716,0.11505889892578125,67014
